Team,AverageGoalsPerPlayerByTeam
Finland,0.08108108108108109
Turkey,0.16666666666666666
Scotland,0.17142857142857143
Slovakia,0.2222222222222222
Germany,0.2564102564102564
North Macedonia,0.2631578947368421
Russia,0.2647058823529412
Czech Republic,0.2702702702702703
Hungary,0.28125
Austria,0.29411764705882354
Portugal,0.3
France,0.3076923076923077
Poland,0.3103448275862069
Netherlands,0.32432432432432434
Spain,0.3409090909090909
Belgium,0.34375
Sweden,0.34615384615384615
Italy,0.34782608695652173
Croatia,0.358974358974359
England,0.375
Switzerland,0.47058823529411764
Denmark,0.5142857142857142
Ukraine,0.5161290322580645
Wales,0.7
