MatchID;HomeTeamName;AwayTeamName;IsPitch;IsBench;IsStaff;Country;ID;OfficialName;OfficialSurname;ShortName;Role;JerseyNumber;IsGoalkeeper;JerseyName;IsCaptain;TacticX;TacticY;Numorder;IsBooked
2024442;Austria;North Macedonia;VRAI;FAUX;FAUX;Austria;250056875;Daniel;Bachmann;Bachmann;goalkeepers;13;VRAI;Bachmann;FAUX;150;504;1;NA
2024442;Austria;North Macedonia;VRAI;FAUX;FAUX;Austria;101177;Andreas;Ulmer;Ulmer;defenders;2;FAUX;Ulmer;FAUX;562;153;2;NA
2024442;Austria;North Macedonia;VRAI;FAUX;FAUX;Austria;1909713;Aleksandar;Dragovic;Dragovic;defenders;3;FAUX;Dragovic;FAUX;345;737;3;NA
2024442;Austria;North Macedonia;VRAI;FAUX;FAUX;Austria;250020234;Martin;Hinteregger;Hinteregger;defenders;4;FAUX;Hinteregger;FAUX;370;317;4;NA
2024442;Austria;North Macedonia;VRAI;FAUX;FAUX;Austria;1906540;David;Alaba;Alaba;defenders;8;FAUX;Alaba;VRAI;328;455;5;NA
2024442;Austria;North Macedonia;VRAI;FAUX;FAUX;Austria;250024349;Marcel;Sabitzer;Sabitzer;midfielders;9;FAUX;Sabitzer;FAUX;547;289;6;NA
2024442;Austria;North Macedonia;VRAI;FAUX;FAUX;Austria;250089289;Christoph;Baumgartner;Baumgartner;midfielders;19;FAUX;Baumgartner;FAUX;684;402;7;NA
2024442;Austria;North Macedonia;VRAI;FAUX;FAUX;Austria;250003976;Stefan;Lainer;Lainer;defenders;21;FAUX;Lainer;FAUX;501;859;8;NA
2024442;Austria;North Macedonia;VRAI;FAUX;FAUX;Austria;250065408;Xaver;Schlager;X. Schlager;midfielders;23;FAUX;Xaver;FAUX;469;500;9;NA
2024442;Austria;North Macedonia;VRAI;FAUX;FAUX;Austria;250065413;Konrad;Laimer;Laimer;midfielders;24;FAUX;Laimer;FAUX;552;679;10;NA
2024442;Austria;North Macedonia;VRAI;FAUX;FAUX;Austria;250116789;Sasa;Kalajdzic;Kalajdzic;forwards;25;FAUX;Kalajdzic;FAUX;690;554;11;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;Austria;250055899;Alexander;Schlager;A. Schlager;goalkeepers;1;VRAI;Schlager;FAUX;0;0;12;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;Austria;250021810;Pavao;Pervan;Pervan;goalkeepers;12;VRAI;Pervan;FAUX;0;0;13;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;Austria;103354;Stefan;Ilsanker;Ilsanker;midfielders;6;FAUX;Ilsanker;FAUX;0;0;14;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;Austria;1903428;Marko;Arnautovic;Arnautovic;forwards;7;FAUX;Arnautovic;FAUX;698;467;15;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;Austria;250041706;Florian;Grillitsch;Grillitsch;midfielders;10;FAUX;Grillitsch;FAUX;0;0;16;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;Austria;250023832;Michael;Gregoritsch;Gregoritsch;forwards;11;FAUX;Gregoritsch;FAUX;683;529;17;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;Austria;98843;Julian;Baumgartlinger;Baumgartlinger;midfielders;14;FAUX;Baumgartlinger;FAUX;0;0;18;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;Austria;250073627;Philipp;Lienhart;Lienhart;defenders;15;FAUX;Lienhart;FAUX;326;695;19;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;Austria;250010552;Christopher;Trimmel;Trimmel;midfielders;16;FAUX;Trimmel;FAUX;0;0;20;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;Austria;250024351;Louis;Schaub;Schaub;midfielders;17;FAUX;Schaub;FAUX;0;0;21;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;Austria;250050403;Alessandro;Schöpf;Schöpf;midfielders;18;FAUX;Schöpf;FAUX;0;0;22;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;Austria;250052757;Valentino;Lazaro;Lazaro;midfielders;22;FAUX;Lazaro;FAUX;0;0;23;NA
2024442;Austria;North Macedonia;FAUX;FAUX;VRAI;Germany;1291;Thomas;Kristl;None;ACO;None;None;None;None;None;None;None;NA
2024442;Austria;North Macedonia;FAUX;FAUX;VRAI;Austria;250026111;Mario;Margreiter;None;ADMIN;None;None;None;None;None;None;None;NA
2024442;Austria;North Macedonia;FAUX;FAUX;VRAI;Germany;11745;Franco;Foda;None;CO;None;None;None;None;None;None;None;NA
2024442;Austria;North Macedonia;FAUX;FAUX;VRAI;Austria;250065423;Michael;Fiedler;None;DOC;None;None;None;None;None;None;None;NA
2024442;Austria;North Macedonia;FAUX;FAUX;VRAI;Austria;250075634;Gerhard;Zallinger;None;FTNCOA;None;None;None;None;None;None;None;NA
2024442;Austria;North Macedonia;FAUX;FAUX;VRAI;Austria;57064;Robert;Almer;None;GKCOA;None;None;None;None;None;None;None;NA
2024442;Austria;North Macedonia;FAUX;FAUX;VRAI;Austria;250075630;Jovo;Marjanovic;None;KITMAN;None;None;None;None;None;None;None;NA
2024442;Austria;North Macedonia;FAUX;FAUX;VRAI;Austria;250075631;Christoph;Ogris;None;MAS;None;None;None;None;None;None;None;NA
2024442;Austria;North Macedonia;FAUX;FAUX;VRAI;Austria;57063;Jürgen;Säumel;None;OTH;None;None;None;None;None;None;None;NA
2024442;Austria;North Macedonia;FAUX;FAUX;VRAI;Germany;250075632;Mike;Steverding;None;PH;None;None;None;None;None;None;None;NA
2024442;Austria;North Macedonia;FAUX;FAUX;VRAI;Austria;250075633;Michael;Vettorazzi;None;PH;None;None;None;None;None;None;None;NA
2024442;Austria;North Macedonia;VRAI;FAUX;FAUX;North Macedonia;250014421;Stole;Dimitrievski;Dimitrievski;goalkeepers;1;VRAI;Dimitrievski;FAUX;900;510;1;NA
2024442;Austria;North Macedonia;VRAI;FAUX;FAUX;North Macedonia;250005231;Arijan;Ademi;Ademi;midfielders;5;FAUX;Ademi;FAUX;500;508;2;NA
2024442;Austria;North Macedonia;VRAI;FAUX;FAUX;North Macedonia;250022910;Visar;Musliu;Musliu;defenders;6;FAUX;Musliu;FAUX;655;345;3;NA
2024442;Austria;North Macedonia;VRAI;FAUX;FAUX;North Macedonia;250028268;Ezgjan;Alioski;Alioski;midfielders;8;FAUX;Alioski;FAUX;520;121;4;NA
2024442;Austria;North Macedonia;VRAI;FAUX;FAUX;North Macedonia;250039878;Aleksandar;Trajkovski;Trajkovski;forwards;9;FAUX;Trajkovski;FAUX;310;383;5;NA
2024442;Austria;North Macedonia;VRAI;FAUX;FAUX;North Macedonia;52148;Goran;Pandev;Pandev;forwards;10;FAUX;Pandev;VRAI;291;519;6;NA
2024442;Austria;North Macedonia;VRAI;FAUX;FAUX;North Macedonia;250004363;Stefan;Ristovski;Ristovski;defenders;13;FAUX;Ristovski;FAUX;625;724;7;NA
2024442;Austria;North Macedonia;VRAI;FAUX;FAUX;North Macedonia;250031588;Darko;Velkoski;D. Velkoski;defenders;14;FAUX;D. Velkoski;FAUX;657;537;8;NA
2024442;Austria;North Macedonia;VRAI;FAUX;FAUX;North Macedonia;250043103;Boban;Nikolov;Nikolov;midfielders;16;FAUX;NIKOLOV;FAUX;510;862;9;NA
2024442;Austria;North Macedonia;VRAI;FAUX;FAUX;North Macedonia;250064634;Enis;Bardi;Bardi;midfielders;17;FAUX;Bardi;FAUX;454;551;10;NA
2024442;Austria;North Macedonia;VRAI;FAUX;FAUX;North Macedonia;250091841;Eljif;Elmas;Elmas;midfielders;21;FAUX;Elmas;FAUX;408;368;11;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;North Macedonia;250079552;Risto;Jankov;Jankov;goalkeepers;12;VRAI;Jankov;FAUX;1000;0;12;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;North Macedonia;250022908;Damjan;Siskovski;Siskovski;goalkeepers;22;VRAI;SHISHKOVSKI;FAUX;1000;0;13;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;North Macedonia;250055992;Egzon;Bejtulai;Bejtulai;defenders;2;FAUX;Bejtullai;FAUX;549;845;14;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;North Macedonia;107972;Kire;Ristevski;Ristevski;defenders;4;FAUX;Ristevski;FAUX;1000;0;15;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;North Macedonia;73471;Ivan;Trickovski;Trickovski;forwards;7;FAUX;Trickovski;FAUX;309;549;16;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;North Macedonia;250022169;Ferhan;Hasani;Hasani;midfielders;11;FAUX;Hasani;FAUX;1000;0;17;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;North Macedonia;250055403;Tihomir;Kostadinov;Kostadinov;midfielders;15;FAUX;KOSTADINOV;FAUX;469;650;18;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;North Macedonia;96418;Krste;Velkoski;K. Velkoski;forwards;19;FAUX;Velkoski;FAUX;1000;0;19;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;North Macedonia;107976;Stefan;Spirovski;Spirovski;midfielders;20;FAUX;Spirovski;FAUX;1000;0;20;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;North Macedonia;250031583;Daniel;Avramovski;Avramovski;forwards;24;FAUX;Avramovski;FAUX;1000;0;21;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;North Macedonia;250105582;Darko;Churlinov;Churlinov;midfielders;25;FAUX;Churlinov;FAUX;1000;0;22;NA
2024442;Austria;North Macedonia;FAUX;VRAI;FAUX;North Macedonia;250072833;Milan;Ristovski;M. Ristovski;midfielders;26;FAUX;Ristovski;FAUX;331;473;23;NA
2024442;Austria;North Macedonia;FAUX;FAUX;VRAI;North Macedonia;48629;Milan;Ilievski;None;ACO;None;None;None;None;None;None;None;NA
2024442;Austria;North Macedonia;FAUX;FAUX;VRAI;North Macedonia;52144;Bojan;Markovski;None;ADMIN;None;None;None;None;None;None;None;NA
2024442;Austria;North Macedonia;FAUX;FAUX;VRAI;North Macedonia;30379;Igor;Angelovski;None;CO;None;None;None;None;None;None;None;NA
2024442;Austria;North Macedonia;FAUX;FAUX;VRAI;North Macedonia;52141;Dancho;Masev;None;DIR;None;None;None;None;None;None;None;NA
2024442;Austria;North Macedonia;FAUX;FAUX;VRAI;North Macedonia;250073824;Aleksandar;Saveski;None;DOC;None;None;None;None;None;None;None;NA
2024442;Austria;North Macedonia;FAUX;FAUX;VRAI;North Macedonia;250112379;Borislav;Kalkovaliev;None;DOC;None;None;None;None;None;None;None;NA
2024442;Austria;North Macedonia;FAUX;FAUX;VRAI;North Macedonia;250099948;Ivan;Jovanovski;None;FTNCOA;None;None;None;None;None;None;None;NA
2024442;Austria;North Macedonia;FAUX;FAUX;VRAI;North Macedonia;44303;Zoran;Micevski;None;GKCOA;None;None;None;None;None;None;None;NA
2024442;Austria;North Macedonia;FAUX;FAUX;VRAI;North Macedonia;250112111;Djengis;Redjepi;None;OTH;None;None;None;None;None;None;None;NA
2024442;Austria;North Macedonia;FAUX;FAUX;VRAI;North Macedonia;250072839;Angele;Milevski;None;PH;None;None;None;None;None;None;None;NA
2024442;Austria;North Macedonia;FAUX;FAUX;VRAI;North Macedonia;250076920;Bojan;Canevski;None;PH;None;None;None;None;None;None;None;NA
2024486;Belgium;Italy;VRAI;FAUX;FAUX;Belgium;250011668;Thibaut;Courtois;Courtois;goalkeepers;1;VRAI;COURTOIS;FAUX;90;490;1;NA
2024486;Belgium;Italy;VRAI;FAUX;FAUX;Belgium;103333;Toby;Alderweireld;Alderweireld;defenders;2;FAUX;Alderweireld;FAUX;352;708;2;NA
2024486;Belgium;Italy;VRAI;FAUX;FAUX;Belgium;71982;Thomas;Vermaelen;Vermaelen;defenders;3;FAUX;Vermaelen;FAUX;343;522;3;NA
2024486;Belgium;Italy;VRAI;FAUX;FAUX;Belgium;103704;Jan;Vertonghen;Vertonghen;defenders;5;FAUX;Vertonghen;VRAI;354;280;4;NA
2024486;Belgium;Italy;VRAI;FAUX;FAUX;Belgium;103335;Axel;Witsel;Witsel;midfielders;6;FAUX;Witsel;FAUX;484;458;5;NA
2024486;Belgium;Italy;VRAI;FAUX;FAUX;Belgium;250008901;Kevin;De Bruyne;De Bruyne;midfielders;7;FAUX;De Bruyne;FAUX;634;560;6;NA
2024486;Belgium;Italy;VRAI;FAUX;FAUX;Belgium;250064006;Youri;Tielemans;Tielemans;midfielders;8;FAUX;Tielemans;FAUX;477;609;7;NA
2024486;Belgium;Italy;VRAI;FAUX;FAUX;Belgium;250010802;Romelu;Lukaku;Lukaku;forwards;9;FAUX;R. Lukaku;FAUX;758;583;8;NA
2024486;Belgium;Italy;VRAI;FAUX;FAUX;Belgium;250029318;Thomas;Meunier;Meunier;defenders;15;FAUX;Meunier;FAUX;447;855;9;NA
2024486;Belgium;Italy;VRAI;FAUX;FAUX;Belgium;250012551;Thorgan;Hazard;T. Hazard;midfielders;16;FAUX;T. Hazard;FAUX;489;322;10;NA
2024486;Belgium;Italy;VRAI;FAUX;FAUX;Belgium;250113142;Jeremy;Doku;Doku;forwards;25;FAUX;Doku;FAUX;642;210;11;NA
2024486;Belgium;Italy;FAUX;VRAI;FAUX;Belgium;250003912;Thomas;Kaminski;Kaminski;goalkeepers;12;VRAI;Kaminski;FAUX;0;0;12;NA
